City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Khatanga,RU,2022-08-05 03:06:12,71.9667,102.5,58.28,66,100,4.27
59,Hermanus,ZA,2022-08-05 03:06:12,-34.4187,19.2345,53.13,77,23,7.63
60,Oum Hadjer,TD,2022-08-05 03:06:13,13.2954,19.6966,74.41,80,100,5.57
61,Inhambane,MZ,2022-08-05 03:06:13,-23.865,35.3833,63.91,90,3,6.29
62,Bogorodskoye,RU,2022-08-05 03:06:13,56.55,37.8833,68.27,66,94,3.31
63,Khani,GE,2022-08-05 03:06:14,41.9563,42.9566,65.77,92,25,3.42
64,Qaanaaq,GL,2022-08-05 03:06:14,77.484,-69.3632,41.22,58,0,4.97
65,Coahuayana,MX,2022-08-05 03:06:15,18.7333,-103.6833,79.05,90,72,0.94
66,Arraial Do Cabo,BR,2022-08-05 03:06:15,-22.9661,-42.0278,71.04,85,72,24.09
67,Chuy,UY,2022-08-05 03:06:15,-33.6971,-53.4616,50.07,91,100,12.95
68,Saint George,US,2022-08-05 03:04:04,37.1041,-113.5841,81.19,67,20,14.0
69,Vaini,TO,2022-08-05 03:06:16,-21.2,-175.2,78.96,89,75,9.22
70,Hay River,CA,2022-08-05 03:04:59,60.8156,-115.7999,54.66,59,20,3.71
71,Kuruman,ZA,2022-08-05 03:06:16,-27.4524,23.4325,49.66,67,0,4.72
72,Beloha,MG,2022-08-05 03:06:17,-25.1667,45.05,64.58,85,30,4.94
73,Kerman,IR,2022-08-05 03:06:17,30.2832,57.0788,77.54,19,0,4.74
74,Juneau,US,2022-08-05 03:06:17,58.3019,-134.4197,64.85,93,20,5.75
75,Mataura,NZ,2022-08-05 03:06:18,-46.1927,168.8643,57.47,61,100,8.37
76,Anadyr,RU,2022-08-05 03:06:18,64.75,177.4833,55.9,93,100,17.9
77,Ferndale,US,2022-08-05 03:06:19,42.4606,-83.1347,76.84,92,100,13.8
78,Olafsvik,IS,2022-08-05 03:06:19,64.8945,-23.7142,49.15,69,100,5.48
79,Butaritari,KI,2022-08-05 03:06:20,3.0707,172.7902,81.75,75,26,10.76
80,Esperance,AU,2022-08-05 03:06:20,-33.8667,121.9,53.44,66,90,15.55
81,Cape Town,ZA,2022-08-05 03:02:06,-33.9258,18.4232,55.11,85,57,4.0
82,Mount Gambier,AU,2022-08-05 03:06:21,-37.8333,140.7667,57.11,77,40,14.97
83,Kinshasa,CD,2022-08-05 03:06:21,-4.3246,15.3215,72.32,67,5,3.65
84,Hithadhoo,MV,2022-08-05 03:06:21,-0.6,73.0833,81.41,66,95,9.64
85,Cedar Park,US,2022-08-05 03:04:44,30.5052,-97.8203,92.43,49,0,11.99
86,Iracoubo,GF,2022-08-05 03:06:22,5.4802,-53.2011,78.37,83,59,8.93
87,Heihe,CN,2022-08-05 03:06:22,50.2441,127.4902,72.18,93,100,18.88
88,Port Elizabeth,ZA,2022-08-05 03:06:23,-33.918,25.5701,55.33,85,81,4.68
89,Kishni,IN,2022-08-05 03:06:23,27.0247,79.2634,87.13,66,72,8.84
90,Klaksvik,FO,2022-08-05 03:06:23,62.2266,-6.589,47.32,85,100,20.15
91,Tanout,NE,2022-08-05 03:06:24,14.9709,8.8879,81.09,57,30,8.25
92,Daru,PG,2022-08-05 03:06:24,-9.0763,143.2092,80.73,87,36,15.03
93,Bredasdorp,ZA,2022-08-05 03:06:25,-34.5322,20.0403,47.46,86,36,4.92
94,Carnarvon,AU,2022-08-05 03:06:25,-24.8667,113.6333,64.04,45,0,12.88
95,Hilo,US,2022-08-05 03:07:26,19.7297,-155.09,82.27,81,20,9.22
96,Huarmey,PE,2022-08-05 03:07:26,-10.0681,-78.1522,62.01,86,64,9.51
97,Barrow,US,2022-08-05 03:03:30,71.2906,-156.7887,51.82,82,40,8.05
98,San Policarpo,PH,2022-08-05 03:07:26,12.1791,125.5072,79.57,84,100,4.74
99,Port Lincoln,AU,2022-08-05 03:07:27,-34.7333,135.8667,56.89,69,7,22.79
100,East London,ZA,2022-08-05 03:07:27,-33.0153,27.9116,62.22,77,100,1.5
101,Ponta Do Sol,PT,2022-08-05 03:07:28,32.6667,-17.1,72.23,79,18,7.29
102,Scarborough,GB,2022-08-05 03:05:51,54.2797,-0.4044,53.17,77,100,3.0
103,Narsaq,GL,2022-08-05 03:03:13,60.9167,-46.05,46.62,86,100,1.88
104,Shahrud,IR,2022-08-05 03:07:28,36.4182,54.9763,73.76,42,0,7.2
105,Puerto Ayora,EC,2022-08-05 03:02:58,-0.7393,-90.3518,66.54,88,36,1.01
106,Provideniya,RU,2022-08-05 03:07:28,64.3833,-173.3,46.51,100,100,8.95
107,Seymchan,RU,2022-08-05 03:07:29,62.8833,152.4333,54.01,86,100,7.45
108,Boyolangu,ID,2022-08-05 03:07:29,-8.1181,111.8935,80.31,68,12,7.0
109,Divinopolis,BR,2022-08-05 03:07:30,-20.1389,-44.8839,66.38,45,98,1.39
110,Saskylakh,RU,2022-08-05 03:07:31,71.9167,114.0833,61.57,54,93,8.81
111,Moree,AU,2022-08-05 03:06:39,-29.4667,149.85,59.02,94,100,17.27
112,Novyy Urengoy,RU,2022-08-05 03:07:31,66.0833,76.6333,65.86,62,47,12.17
113,Council Bluffs,US,2022-08-05 03:05:11,41.2619,-95.8608,81.52,63,40,8.05
114,Petropavlovsk-Kamchatskiy,RU,2022-08-05 03:07:32,53.0452,158.6483,73.99,53,0,4.47
115,Kaitangata,NZ,2022-08-05 03:02:33,-46.2817,169.8464,55.8,61,100,8.23
116,Minggang,CN,2022-08-05 03:07:32,32.4586,114.0486,93.92,57,0,11.07
117,Qostanay,KZ,2022-08-05 03:07:33,53.1667,63.5833,68.29,60,0,6.71
118,Lubango,AO,2022-08-05 03:06:16,-14.9172,13.4925,59.16,32,0,4.63
119,Hobart,AU,2022-08-05 03:07:33,-42.8794,147.3294,53.46,82,75,12.66
120,Pevek,RU,2022-08-05 03:07:34,69.7008,170.3133,37.98,89,100,6.46
121,Sola,VU,2022-08-05 03:07:34,-13.8833,167.55,80.64,77,10,17.16
122,Sorland,NO,2022-08-05 03:07:34,67.667,12.6934,51.66,83,100,19.15
123,Margate,GB,2022-08-05 03:07:35,51.3813,1.3862,63.3,84,56,4.0
124,Airai,TL,2022-08-05 03:07:35,-8.9266,125.4092,74.53,47,78,2.59
125,Yellowknife,CA,2022-08-05 03:07:35,62.456,-114.3525,61.32,67,75,3.44
126,Chernushka,RU,2022-08-05 03:07:36,56.5072,56.0766,65.75,68,3,1.66
127,Plymouth,US,2022-08-05 03:04:52,41.8334,-70.8328,79.07,85,0,6.91
128,Durban,ZA,2022-08-05 03:04:10,-29.8579,31.0292,63.01,81,14,3.0
129,Puerto Escondido,MX,2022-08-05 03:07:36,15.85,-97.0667,79.63,69,75,5.75
130,Yerbogachen,RU,2022-08-05 03:07:37,61.2767,108.0108,58.57,81,100,5.61
131,Tasiilaq,GL,2022-08-05 03:07:37,65.6145,-37.6368,41.16,83,100,2.53
132,Komsomolskiy,UZ,2022-08-05 03:07:37,40.4272,71.7189,85.06,24,0,4.16
133,Thompson,CA,2022-08-05 03:04:36,55.7435,-97.8558,57.69,48,100,5.59
134,Severo-Kurilsk,RU,2022-08-05 03:07:38,50.6789,156.125,57.36,81,12,7.63
135,Dauphin,CA,2022-08-05 03:07:38,51.1494,-100.0502,70.32,74,83,9.98
136,Den Chai,TH,2022-08-05 03:07:38,17.9837,100.0522,84.06,76,100,2.93
